,name,informal_name,class,energy,carbohydrates,fat,protein,cellulose
38,胡瓜,青瓜、胡瓜,蔬果和菌藻,16.00,2.90,0.20,0.80,0.50
39,酸菜类,酸汤鱼、酸辣鱼、酸菜鱼,四川菜 ,97.53,1.63,4.38,13.04,0.19
40,腌菜类,None,None,None,None,None,None,None
41,苋菜,刺苋菜、野苋菜、雁来红、三色苋、绵苋、青香苋、野刺苋、米苋,蔬果和菌藻,30.00,5.00,0.30,2.80,2.20
42,葱头,洋葱头、玉葱、葱头、圆葱、球葱、洋葱、葱头,蔬果和菌藻,40.00,9.00,0.20,1.10,0.90
43,青椒,剁椒,调味品,41.50,10.80,0.50,1.40,5.90
44,蒜头,糖蒜,调味品,117.00,27.60,0.20,2.10,1.70
45,黑木耳,黑木耳、云耳、黑木耳，云耳,蔬果和菌藻,27.00,6.00,0.20,1.50,2.60
46,胡萝卜,萝卜、黄萝卜、丁香萝卜、红芦菔、甘笋、黄根、卜香菜、药萝卜、赤珊瑚,蔬果和菌藻,39.00,8.80,0.20,1.00,1.10
47,圆白菜,圆白菜，包菜，甘蓝、圆白菜、卷心菜,蔬果和菌藻,24.00,4.60,0.20,1.50,1.00
48,榨菜,None,调味品,33.00,6.50,0.30,2.20,2.10
49,苦瓜,凉瓜、癞瓜、锦荔枝、癞葡萄、凉瓜，癞瓜,蔬果和菌藻,22.00,4.90,0.10,1.00,1.40
50,丝瓜,天丝瓜、天罗、蜜瓜、布瓜、天吊瓜、纯阳瓜、倒阳菜、水瓜、絮瓜、缣瓜、蛮瓜、绵瓜,蔬果和菌藻,20.00,4.00,0.20,1.30,0.00
51,荠菜,护生草、芊菜、净肠草、地米菜、香菜、地菜、鸡心菜、菱角菜、鸡脚菜、蓟菜、菱角菜、菱角菜,蔬果和菌藻,31.00,4.70,0.40,2.90,1.70
52,芥菜,雪里蕻、雪菜、芥、大芥、黄芥、皱叶芥、雪里红，雪菜,蔬果和菌藻,27.00,4.70,0.40,2.00,1.60
53,包心菜,None,私家菜 ,41.79,4.27,1.85,2.15,0.18
54,芹菜,刀芹、蜀芹、香芹,蔬果和菌藻,13.00,1.80,0.20,1.40,0.90
55,白菜,白菜,蔬果和菌藻,20.00,3.40,0.20,1.60,0.90
56,青葱,葱、青葱、四季葱、事菜,蔬果和菌藻,28.00,5.80,0.30,1.60,2.20
57,菠菜,菠棱菜、赤根菜、波斯草、鹦鹉菜、鼠根菜、角菜、赤根菜,蔬果和菌藻,28.00,4.50,0.30,2.60,1.70
58,辣椒,剁椒,调味品,41.50,10.80,0.50,1.40,5.90
59,茄子,落苏、茄瓜,蔬果和菌藻,23.00,4.90,0.20,1.10,1.30
60,小黄瓜,None,湖南菜 ,43.34,7.28,0.86,1.10,0.89
61,生菜,牛俐、鲜生菜、鲜圆生菜,蔬果和菌藻,16.00,2.10,0.40,1.40,0.60
62,青蒿,None,谷薯芋、杂豆、主食,215.82,50.50,0.20,2.20,一
63,韭黄,韭芽,蔬果和菌藻,24.00,3.90,0.20,2.30,1.20
64,空心菜,通心菜、蕹菜、空心菜、藤藤菜,蔬果和菌藻,19.00,4.00,0.20,2.20,1.90
65,芥兰菜,芥兰、甘蓝菜、盖蓝菜、甘蓝菜、盖蓝菜,蔬果和菌藻,24.00,4.10,0.30,3.10,1.90
66,韭菜花,None,调味品,17.00,2.80,0.30,1.30,1.00
67,芫荽,None,广州菜 ,50.16,0.60,2.89,5.42,0.07
68,雪里蕻,腌雪菜,调味品,29.00,5.40,0.20,2.40,2.10
69,韭菜,壮阳草、赶阳草、长生草、起阳草,蔬果和菌藻,25.00,4.50,0.40,2.40,2.40
70,鲍鱼菇,鳆鱼、鲍螺、九孔、紫鲍、盘鲍、大鲍、石决明、白戟鱼、阔口鱼、白冀、鲴鱼、明目鱼、小鲍鱼、杂色鲍,蛋类、肉类及制品,84.00,6.60,0.80,12.60,0.00
71,蘑菇,蕈、菌、茸、蘑菰、蘑菇蕈、蘑子蕈、肉蕈、肉菌、蘑菇菌、蘑菇,蔬果和菌藻,24.00,4.10,0.10,2.70,2.10
72,生竹笋,笋、毛笋、竹芽、竹萌,蔬果和菌藻,23.00,3.60,0.20,2.60,1.80
73,四季豆,菜豆、豆角、云扁豆、龙爪豆、龙骨豆、芸豆、白豆、二生豆、菜豆、芸豆,蔬果和菌藻,24.00,6.00,0.20,2.00,0.00
74,油菜,芸薹、胡菜、薹菜,蔬果和菌藻,14.00,2.00,0.50,1.30,1.60
75,皇帝豆,贡柑,57 大卡（100克）,57.00,12.58,0.20,1.20,0.10
76,茼蒿菜,蒿子杆、蓬蒿菜、蒿菜、菊花菜、茼笋、茼莴菜、春菊、打妻菜、艾菜、花冠菊、蓬蒿，艾菜,蔬果和菌藻,24.00,3.90,0.30,1.90,1.20
77,九层塔,None,家常菜 ,54.52,6.11,3.54,1.34,1.82
78,大蒜,蒜、蒜头、大蒜头、胡蒜、葫、独蒜、独头蒜、蒜头,蔬果和菌藻,128.00,27.60,0.20,4.50,1.10
79,大葱,葱、青葱、四季葱、事菜,蔬果和菌藻,28.00,5.80,0.30,1.60,2.20
80,海藻,爽口海草、海藻菜,湖北菜 ,60.86,11.55,0.41,6.37,7.24
81,笋干,None,家常菜 ,149.67,13.19,12.12,2.40,5.46
82,花豆,None,零食、点心、冷饮,419.00,61.70,13.60,12.80,1.20
83,菜豆,多花菜豆,蔬果和菌藻,25.00,3.90,0.30,2.40,1.60
84,金针菇,朴菰 、构菌、冻菌、金菇、毛柄金钱菌、智力菇、鲜金针菇、智力菇,蔬果和菌藻,32.00,6.00,0.40,2.40,2.70
85,海带,江白菜，昆布,蔬果和菌藻,90.00,23.40,0.10,1.80,6.10
86,绿豆芽,巧芽、豆芽菜、如意菜、掐菜、银芽、银针、银苗、芽心、绿豆芽,蔬果和菌藻,16.00,2.60,0.10,1.70,1.20
87,香菇,冬菇、香菌、爪菰、花菇、香蕈、香菰、香信、香蕈，冬菇,蔬果和菌藻,26.00,5.20,0.30,2.20,3.30
88,紫菜,索菜、子菜、甘紫菜,蔬果和菌藻,250.00,44.10,1.10,26.70,21.60
89,黄豆芽,大豆芽、清水豆芽,蔬果和菌藻,47.00,4.50,1.60,4.50,1.50
90,芦笋,露笋、石刁柏、芦尖、龙须菜、石刁柏、龙须菜,蔬果和菌藻,19.00,3.30,0.10,2.60,1.40
91,豆苗菜,豆苗,蔬果和菌藻,32.00,2.60,0.80,4.80,0.00
92,海参,海男子、土肉、刺参、海鼠、海瓜皮,蛋类、肉类及制品,78.00,2.50,0.20,16.50,0.00
93,海蜇皮,海蛰皮,蛋类、肉类及制品,33.00,3.80,0.30,3.70,0.00
94,桂鱼,None,私家菜 ,112.37,0.82,4.75,16.51,0.16
95,金枪鱼,鲔鱼、吞拿鱼,蛋类、肉类及制品,189.00,0.00,9.00,27.10,0.00
96,鱼丸,鱼丸子、鱼丸鱼蛋,蛋类、肉类及制品,107.00,12.70,1.30,11.10,0.00
97,鲑鱼,三文鱼、大马哈鱼、大麻哈鱼、大马哈鱼、三文鱼,蛋类、肉类及制品,139.00,0.00,7.80,17.20,0.00
98,鲈鱼,鲈花、鲈板、鲈子鱼、寨花、四腮鱼、鲁鱼、花糜、鲈花,蛋类、肉类及制品,105.00,0.00,3.40,18.60,0.00
99,鲨鱼皮,None,零食、点心、冷饮,384.32,26.00,19.50,19.00,一
100,螃蟹,螃蟹、毛蟹、稻蟹、中华绒螯蟹、横行介士、无肠公子,蛋类、肉类及制品,103.00,2.30,2.60,17.50,0.00
101,乌贼,曼氏无针乌贼、乌贼粑,蛋类、肉类及制品,287.00,2.10,1.90,65.30,一
102,鳝鱼,黄鳝、长鱼、无鳞公子、海蛇、蛆鱼、黄蛆、鳝鱼、鳝鱼,蛋类、肉类及制品,89.00,1.20,1.40,18.00,0.00
103,鳕鱼,鳕狭、明太鱼、大头青、大口鱼、大头鱼、大头腥、鳕狭、明太鱼,蛋类、肉类及制品,88.00,0.50,0.50,20.40,0.00
104,旗鱼,None,蛋类、肉类及制品,465.00,42.80,17.20,34.70,一
105,鱼翅,None,湖南菜 ,86.97,0.66,5.65,8.30,0.18
106,鲍鱼,鳆鱼、鲍螺、九孔、紫鲍、盘鲍、大鲍、石决明、白戟鱼、阔口鱼、白冀、鲴鱼、明目鱼、小鲍鱼、杂色鲍,蛋类、肉类及制品,84.00,6.60,0.80,12.60,0.00
107,鳗鱼,鳗鲡、蛇鱼、风鳗、白鳗、白鳝、青鳝、青鳗、毛鱼、流鳗、鳗鲡、河鳗、鳗鱼、河鳗,蛋类、肉类及制品,181.00,2.30,10.80,18.60,0.00
108,蚬子,扁螺、黄蚬、河蚬、蚬子,蛋类、肉类及制品,47.00,1.70,1.40,7.00,0.00
109,大比目鱼,片口鱼、左口鱼、牙片、偏口、鲆、鲽鱼,蛋类、肉类及制品,107.00,0.50,2.30,21.10,一
110,刀鱼,None,私家菜 ,198.75,7.70,12.22,14.58,0.03
111,鲫鱼,河鲫、鲋鱼、喜头、鲫瓜子、喜头鱼、海附鱼、童子鲫、鲭、喜头鱼、海附鱼,蛋类、肉类及制品,108.00,3.80,2.70,17.10,0.00
112,鲤鱼,龙门鱼、鲤拐子、赤鲤、黄鲤、白鲤、赖鲤、鲤拐子,蛋类、肉类及制品,109.00,0.50,4.10,17.60,0.00
113,虾,对虾、鲜虾仁、虾仁,蛋类、肉类及制品,93.00,2.80,0.80,18.60,0.00
114,草鱼,鲩鱼、混子、草鲩、草包鱼、草根鱼、草青、白鲩,蛋类、肉类及制品,113.00,0.00,5.20,16.60,0.00
115,黑鲳鱼,鲳鱼、刺鲳、鲳鱼（鲜）,149 大卡（100克）,149.00,5.90,6.50,16.80,0.00
116,红鲋,None,None,None,None,None,None,None
117,黑鳝,None,家常菜 ,162.74,7.68,7.26,18.79,2.06
118,吞拿鱼,None,其他菜肴,99.03,2.71,7.79,4.15,0.54
119,鱼子酱,鱼籽酱,调味品,201.00,24.70,7.10,9.60,0.00
120,海鳗,勾鱼、鲫勾、门鳝、海鳝、麻鱼、牙鱼、狼牙鱼、蟒鱼,蛋类、肉类及制品,122.00,0.50,5.00,18.80,一
121,草虾,草虾,蛋类、肉类及制品,96.00,0.00,1.20,21.20,0.00
122,鲨鱼,真鲨、白斑角鲨,蛋类、肉类及制品,118.00,0.00,3.20,22.20,0.00
123,虱目鱼,None,蛋类、肉类及制品,179.00,0.20,9.50,21.80,0.00
124,乌鱼,None,蛋类、肉类及制品,66.00,0.00,1.10,14.10,0.00
125,鲭鱼,None,蛋类、肉类及制品,372.00,0.40,34.50,14.90,0.00
126,吴郭鱼,吴郭鱼、越南鱼、非洲鲫鱼、福寿鱼、尼罗鱼,蛋类、肉类及制品,98.00,2.80,1.50,18.40,0.00
127,四破鱼,None,None,None,None,None,None,None
128,鱿鱼,鱿鱼,甘肃菜 ,97.21,6.61,3.22,10.10,0.78
129,鲳鱼,鲳鱼、刺鲳、鲳鱼（鲜）,149 大卡（100克）,149.00,5.90,6.50,16.80,0.00
130,白鲳鱼,鲳鱼、刺鲳、鲳鱼（鲜）,149 大卡（100克）,149.00,5.90,6.50,16.80,0.00
131,牡蛎,"减肥菜,牡蛎粥",家常菜 ,39.08,7.41,0.52,1.25,0.06
132,生蚝,蚝,蛋类、肉类及制品,57.00,0.00,1.50,10.90,0.00
133,鲺鱼泥,None,None,None,None,None,None,None
134,三文鱼,三文鱼、大马哈鱼、大麻哈鱼、大马哈鱼、三文鱼,蛋类、肉类及制品,139.00,0.00,7.80,17.20,0.00
135,吻仔鱼,None,调味品,608.00,20.10,51.20,16.80,0.00
136,蛙鱼,青蛙 蛙鱼 青鸡 坐鱼 长股 蛤鱼,蛋类、肉类及制品,93.00,0.00,1.20,20.50,一
137,蛤蜊,蛤,蛋类、肉类及制品,62.00,2.80,1.10,10.10,0.00
138,沙丁鱼,沙鲻、沙鲻,蛋类、肉类及制品,89.00,0.00,1.10,19.80,0.00
139,秋刀鱼,None,私家菜 ,198.75,7.70,12.22,14.58,0.03
140,皮刀鱼,None,私家菜 ,173.59,4.89,11.50,12.63,0.22
141,凤尾鱼,小凤尾鱼,蛋类、肉类及制品,124.00,4.00,5.10,15.50,一
142,扁鱼干,扁桃仁小鱼干,511 大卡（100克）,510.99,30.10,29.60,31.30,0.00
143,青鱼,青皮鱼、青鳞鱼、青混、鲭、黑鲩、螺狮青、青皮鱼、青鳞鱼、青混,蛋类、肉类及制品,118.00,0.00,4.20,20.10,0.00
144,鲱鱼,None,None,None,None,None,None,None
145,千贝,None,谷薯芋、杂豆、主食,362.81,56.90,10.50,9.20,一
146,白带鱼,刀鱼、裙带鱼、牙带、白带鱼、柳鞭鱼、带柳、晦刀鱼、白带鱼、刀鱼,蛋类、肉类及制品,127.00,3.10,4.90,17.70,0.00
147,带鱼,刀鱼、裙带鱼、牙带、白带鱼、柳鞭鱼、带柳、晦刀鱼、白带鱼、刀鱼,蛋类、肉类及制品,127.00,3.10,4.90,17.70,0.00
148,蚌始,None,None,None,None,None,None,None
149,熏鲱鱼,None,蛋类、肉类及制品,224.00,0.00,15.50,21.20,0.00
150,小鱼干,None,家常菜 ,307.06,9.85,26.62,12.10,3.81
151,白带鱼皮,刀鱼、裙带鱼、牙带、白带鱼、柳鞭鱼、带柳、晦刀鱼、白带鱼、刀鱼,蛋类、肉类及制品,127.00,3.10,4.90,17.70,0.00
152,杏子,杏果、甜梅、叭达杏、杏实、杏子,蔬果和菌藻,38.00,9.10,0.10,0.90,1.30
153,石榴,安石榴、金罂、金庞、钟石榴、天浆、甘石榴、丹若,蔬果和菌藻,72.00,18.50,0.20,1.30,4.90
154,凤梨,番梨、露兜子、凤梨、凤梨，地菠萝,蔬果和菌藻,44.00,10.80,0.10,0.50,1.30
155,菠萝,番梨、露兜子、凤梨、凤梨，地菠萝,蔬果和菌藻,44.00,10.80,0.10,0.50,1.30
156,葡萄,草龙珠、山葫芦、蒲桃、菩提子、,蔬果和菌藻,45.00,10.30,0.30,0.40,1.00
157,苹果,滔婆、柰、柰子、频婆、平波、天然子、红富士、昭通苹果、丑苹果,蔬果和菌藻,53.00,13.70,0.20,0.40,1.70
158,梨,梨子、皇冠梨、快果、玉乳、果宗、蜜父、雪梨、香水梨、青梨,蔬果和菌藻,51.00,13.10,0.10,0.30,2.60
159,西瓜,寒瓜、天生白虎汤、夏瓜、水瓜,蔬果和菌藻,31.00,6.80,0.30,0.50,0.20
160,香蕉,蕉子、蕉果、甘蕉、甘蕉,蔬果和菌藻,93.00,22.00,0.20,1.40,1.20
161,桃子,桃,蔬果和菌藻,42.00,10.10,0.10,0.60,1.00
162,枇杷,腊兄、金丸、卢橘、粗客,蔬果和菌藻,41.00,9.30,0.20,0.80,0.80
163,杨桃,五棱子、五敛、羊桃、阳桃、三棱子、风鼓、鬼桃、三??、三稔,蔬果和菌藻,31.00,7.40,0.20,0.60,1.20
164,莲蓬,莲宝、莲米、藕实、水芝、丹泽芝、莲蓬子、水笠子,坚果、大豆及制品,350.00,67.20,2.00,17.20,3.00
165,木瓜,乳瓜、木梨、文冠果、番木瓜、番木瓜,蔬果和菌藻,30.00,7.20,0.00,0.60,0.50
166,芒果,庵罗果、檬果、蜜望子、香盖、抹猛果，望果,蔬果和菌藻,35.00,8.30,0.20,0.60,1.30
167,橙子,橙子、金球、香橙、黄橙、脐橙、橙,蔬果和菌藻,48.00,11.10,0.20,0.80,0.60
168,桔子,桔子、柑桔,蔬果和菌藻,51.00,11.90,0.20,0.70,0.40
169,柠檬,None,饮料,27.00,5.50,0.20,0.90,0.30
170,哈密瓜,甜瓜,蔬果和菌藻,34.00,7.90,0.10,0.50,0.20
171,李子,布朗、脆李、金沙李、嘉庆子、李实、嘉应子,蔬果和菌藻,38.00,8.70,0.20,0.70,0.90
172,番石榴,芭乐、番石榴/芭乐、鸡矢果，番桃,蔬果和菌藻,53.00,14.20,0.40,1.10,5.90
173,葡萄干,None,蔬果和菌藻,344.00,83.40,0.40,2.50,1.60
174,红枣,红枣、大枣、枣子,蔬果和菌藻,276.00,67.80,0.50,3.20,6.20
175,小番茄,西红柿、洋柿子、狼桃、番李子、金橘、番柿、六月柿、洋海椒、毛腊果、西红柿,蔬果和菌藻,15.00,3.30,0.20,0.90,1.00
176,黑枣,None,蔬果和菌藻,246.00,61.40,0.50,3.70,9.20
177,核桃,核桃仁、山核桃、胡桃仁、羌桃、黑桃、胡桃肉、万岁子、长寿果、胡桃,坚果、大豆及制品,646.00,19.10,58.80,14.90,9.50
178,龙眼干,龙眼肉,蔬果和菌藻,317.00,73.50,1.00,4.60,2.00
179,桂圆干,None,蔬果和菌藻,319.00,76.20,0.20,5.60,0.00
180,大樱桃,车厘子、莺桃、含桃、荆桃、朱樱、朱果、樱珠,蔬果和菌藻,46.00,10.20,0.20,1.10,0.30
181,草莓,大草莓、士多啤梨、红莓、地莓、洋莓，凤阳草莓,蔬果和菌藻,32.00,7.10,0.20,1.00,1.10
182,瓜子,向日葵子、天葵子、葵子、瓜子仁、瓜子,坚果、大豆及制品,615.00,16.70,53.40,19.10,4.50
183,杏仁,None,饮料,46.00,8.10,1.10,0.90,一
184,栗子,板栗,坚果、大豆及制品,214.00,46.20,1.50,4.80,1.20
185,腰果,鸡腰果、介寿果,坚果、大豆及制品,559.00,41.60,36.70,17.30,3.60
186,花生,落花参、番豆、长生果、落地松、地果、番果、地豆、唐人豆、花生（鲜）、落花生，长生果,坚果、大豆及制品,313.00,13.00,25.40,12.00,7.70
187,千葵花籽,None,食用油、油脂及制品,899.00,0.00,99.90,0.00,一
188,牛奶,纯牛奶、牛乳、全脂牛奶,奶类及制品,54.00,3.40,3.20,3.00,0.00
189,皮蛋白,None,蛋类、肉类及制品,138.00,1.50,9.00,12.70,0.00
190,红薯,地瓜、番薯、甘薯、山芋、红薯,谷薯芋、杂豆、主食,86.00,20.12,0.10,1.57,3.00
191,鸡蛋黄,蛋黄,蛋类、肉类及制品,328.00,3.40,28.20,15.20,0.00
192,荸荠,马蹄、马蹄，地栗,蔬果和菌藻,61.00,14.20,0.20,1.20,1.10
193,鸭蛋黄,None,蛋类、肉类及制品,378.00,4.00,33.80,14.50,0.00
194,土豆,土豆、洋芋、地蛋、山药蛋、洋番薯、土豆、洋芋,谷薯芋、杂豆、主食,81.00,17.80,0.20,2.60,1.10
195,鸭蛋白,盐蛋、腌蛋、味蛋,蛋类、肉类及制品,190.00,6.30,12.70,12.70,一
196,鸡蛋白,鸡蛋白、鸡蛋清、蛋清、蛋白,蛋类、肉类及制品,60.00,3.10,0.10,11.60,一
197,树薯粉,None,None,None,None,None,None,None
198,皮蛋黄,None,家常菜 ,146.67,8.98,10.59,8.00,4.16
199,小米,None,零食、点心、冷饮,554.00,54.60,36.90,6.00,5.10
200,冬粉,None,家常菜 ,70.15,10.11,1.89,3.49,0.32
201,玉米,玉米（鲜）、苞谷、珍珠米、棒子、玉蜀黍、苞米、六谷、,谷薯芋、杂豆、主食,112.00,22.80,1.20,4.00,2.90
202,高粱,蜀黍、高粱、芦粟、桃粟、蜀秫、木稷、芦粟、番黍、荻粱,谷薯芋、杂豆、主食,360.00,74.70,3.10,10.40,4.30
203,芋头,芋艿、毛芋、芋艿、毛芋,谷薯芋、杂豆、主食,56.00,12.70,0.20,1.30,1.00
204,米粉,粉,谷薯芋、杂豆、主食,349.00,85.80,0.80,0.40,0.00
205,小麦,白麦,谷薯芋、杂豆、主食,338.00,75.20,1.30,11.90,10.80
206,淀粉,None,谷薯芋、杂豆、主食,346.00,85.00,0.10,1.20,0.10
207,脱脂奶,脱脂奶,奶类及制品,33.00,4.80,0.20,2.90,0.00
208,通心粉,意面、通心粉,谷薯芋、杂豆、主食,351.00,75.80,0.10,11.90,0.40
209,面粉,面粉,谷薯芋、杂豆、主食,362.00,70.90,2.50,15.70,0.00
210,糯米,元米、江米、江米,谷薯芋、杂豆、主食,350.00,78.30,1.00,7.30,0.80
211,大米,稻米、米、生米,谷薯芋、杂豆、主食,346.00,77.20,0.90,7.90,0.60
212,面条,面,谷薯芋、杂豆、主食,301.00,65.60,0.60,8.90,0.80
213,糙米,None,谷薯芋、杂豆、主食,348.00,75.00,2.70,7.70,3.40
214,麦片,None,谷薯芋、杂豆、主食,368.00,67.30,7.40,12.40,8.60
215,薏米,薏苡、薏苡仁、六谷米、苡米、薏仁米、沟子米、苡仁、薏仁、薏仁米，苡米,谷薯芋、杂豆、主食,361.00,71.10,3.30,12.80,2.00
216,燕麦,燕麦,谷薯芋、杂豆、主食,338.00,77.40,0.20,10.10,6.00
217,大豆,大豆、黄大豆、枝豆、菜用大豆、大豆,坚果、大豆及制品,390.00,34.20,16.00,35.00,15.50
218,豆浆,None,坚果、大豆及制品,31.00,1.20,1.60,3.00,0.00
219,红豆,赤小豆、红小豆、红饭豆、米赤豆、赤豆、朱小豆、小豆，红小豆,谷薯芋、杂豆、主食,324.00,63.40,0.60,20.20,7.70
220,米糠,None,食用油、油脂及制品,894.00,1.30,98.70,0.00,一
221,豆腐,水豆腐,坚果、大豆及制品,84.00,3.40,5.30,6.60,0.00
222,熏豆干,豆干,坚果、大豆及制品,154.00,8.80,6.20,15.80,0.30
223,豆腐干,豆干、白干,坚果、大豆及制品,197.00,9.60,11.30,14.90,0.00
224,绿豆,None,零食、点心、冷饮,351.00,73.40,1.00,12.80,1.20
225,黄豆,大豆、黄大豆、枝豆、菜用大豆、大豆,坚果、大豆及制品,390.00,34.20,16.00,35.00,15.50
226,黑豆,黑大豆、乌豆、橹豆、马料豆、料豆、零乌豆、冬豆子、黑大豆,坚果、大豆及制品,401.00,33.60,15.90,36.00,10.20
227,蜂蜜,石蜜、石饴、食蜜、蜜、白蜜、白沙蜜、蜜糖、蜂糖、百花精、众口芝,调味品,321.00,75.60,1.90,0.40,0.00
228,米醋,None,私家菜 ,109.09,4.66,8.90,3.15,0.66
229,糯米醋,元米、江米、江米,谷薯芋、杂豆、主食,350.00,78.30,1.00,7.30,0.80
230,果酱,None,调味品,278.00,69.00,0.10,0.40,0.30
231,番茄酱,茄汁,调味品,83.00,16.90,0.20,4.90,2.10
232,粉丝,细粉、线粉、丝粉、古称索粉,谷薯芋、杂豆、主食,338.00,83.70,0.20,0.80,1.10
233,冬瓜糖,白瓜、水芝、地芝、枕瓜、濮瓜、白冬瓜、东瓜、冬瓜、鲜冬瓜片,蔬果和菌藻,10.00,2.40,0.20,0.30,0.00
234,味精,味素、味之素,调味品,268.00,26.50,0.20,40.10,一
235,酱油,豉油、酱汁、豉汁,调味品,63.00,10.10,0.10,5.60,0.20
236,枸杞,甘杞、贡杞、枸杞子、红耳坠、苟起子、枸杞红实、西枸杞、狗奶子、血枸子、血杞子,其它,258.00,64.10,1.50,13.90,16.90
237,味噌,None,谷薯芋、杂豆、主食,363.17,77.56,2.44,6.59,一
238,莲子,莲宝、莲米、藕实、水芝、丹泽芝、莲蓬子、水笠子,坚果、大豆及制品,350.00,67.20,2.00,17.20,3.00
239,黑芝麻,芝麻籽(黑)、胡麻、巨胜,坚果、大豆及制品,559.00,24.00,46.10,19.10,14.00
240,白芝麻,芝麻籽(白),坚果、大豆及制品,536.00,31.50,39.60,18.40,9.80
241,银耳,白木耳、雪耳、白木耳,蔬果和菌藻,261.00,67.30,1.40,10.00,30.40
242,白木,白木耳、雪耳、白木耳,蔬果和菌藻,261.00,67.30,1.40,10.00,30.40
243,鸡肉汤,None,家常菜 ,51.50,3.52,1.47,5.92,0.21
244,鸡精,None,调味品,195.00,33.20,2.80,10.70,0.70
245,肉汁,None,零食、点心、冷饮,342.00,14.80,23.10,17.50,0.60
246,麦芽,饴糖、糖稀,零食、点心、冷饮,331.00,82.00,0.20,0.20,0.00
247,发芽豆类,None,蔬果和菌藻,131.00,19.40,0.70,12.40,1.30
248,酵母粉,None,调味品,372.00,45.50,1.70,47.60,7.90
